,plant_id,plant_name,scientific_name,botanist_name,botanist_email,botanist_phone,origin_city,origin_country,latitude,longitude,license,license_name,license_url,thumbnail,last_watered,recording_taken,soil_moisture,temperature
0,1,Venus flytrap,,Sherry Campbell,sherry.campbell@lnhm.co.uk,+1-662-659-8097x8928,Mitchellfurt,Suriname,81.2003535,7.815683,,,,,2026-01-27 13:12:19,2026-01-27 15:13:52.281700,92.82863156735496,16.47232442781895
2,3,Rafflesia arnoldii,,Elizabeth Crawford,elizabeth.crawford@lnhm.co.uk,001-222-509-7760x0558,Edwardsstad,New Zealand,-73.9289085,-106.786584,,,,,2026-01-27 14:52:32,2026-01-27 15:13:53.924479,98.8075121172093,14.170395283576498
3,4,Black bat flower,,Alan Grant,alan.grant@lnhm.co.uk,6152878920,East Sherry,Latvia,23.701525,106.401108,,,,,2026-01-27 13:35:15,2026-01-27 15:13:54.416392,94.42616159322034,16.517505847167367
4,5,Pitcher plant,Sarracenia catesbaei,Jennifer Blanchard,jennifer.blanchard@lnhm.co.uk,327.732.2111,Lake Lydiaburgh,Pitcairn Islands,17.7169705,-17.8297,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151227Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=ed96f7e15a0d2a9fa432c04059ca302d3af1696b4253d4c75d226a48cfa0320c,2026-01-27 14:11:02,2026-01-27 15:13:55.052449,96.55114036288849,17.179967623879477
5,6,Wollemi pine,Wollemia nobilis,Robert Walton,robert.walton@lnhm.co.uk,678.633.5125,South Thomas,Estonia,-65.203977,-124.152631,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091509Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=627c8c6ff072c0d15a3b1930f1357f231c3ec265e2ba4924b8dfeaa694689e63,2026-01-27 14:48:48,2026-01-27 15:13:56.061735,98.57730025377359,12.905396148687649
6,8,Bird of paradise,Heliconia schiedeana 'Fire and Ice',Anna Davis,anna.davis@lnhm.co.uk,(601)561-8163x5240,South Tina,United Arab Emirates,-60.9363685,-152.763324,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260123%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260123T173029Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=673717c1b427e7c47d0c69218154fd52b34f6c6c052c738468264a4d44d92402,2026-01-27 14:47:07,2026-01-27 15:13:56.632782,98.49567030093458,16.36332803106708
7,9,Cactus,Pereskia grandifolia,Virginia Phillips,virginia.phillips@lnhm.co.uk,8273002266,Gambleshire,Nauru,-42.9962205,-123.053507,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151042Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=6bbb7e11e26b2f128b778c513124d6a2b915b2709dc6df9baf6d99f4863a8a3c,2026-01-27 14:38:15,2026-01-27 15:13:58.131199,97.89061890452756,15.726128385271892
8,10,Dragon tree,,Melinda Spencer,melinda.spencer@lnhm.co.uk,(242)257-5669x3173,Stevensberg,Hungary,-82.3459075,-13.080896,,,,,2026-01-27 13:13:02,2026-01-27 15:13:58.394648,92.95495665631069,17.83550648842394
9,11,Asclepias Curassavica,Asclepias curassavica,James Brooks,james.brooks@lnhm.co.uk,001-745-718-6720x493,Flowersberg,United Kingdom,-72.9649155,127.183588,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/1007_asclepias_curassavica/thumbnail/51757177616_7ca0baaa87_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151651Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c8c4bd0bc461e065c313a54fcb10bacee520135451ff363a605c3175309a26b4,2026-01-27 13:10:18,2026-01-27 15:13:59.339117,93.01192173917137,16.598554708890592
10,13,Canna ‘Striata’,,Deborah Obrien,deborah.obrien@lnhm.co.uk,321-818-7487x25137,Millerton,Cyprus,-32.9029575,-146.302804,,,,,2026-01-27 14:34:26,2026-01-27 15:14:00.852052,97.65098709396636,14.859721640339801
